timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743046566088,557,HTTP Request,200,OK,Thread Group 1-1,text,true,,179272,138,1,1,https://pir.org/news-insights/2024-oia-finalists/,536,0,438
1743046568092,182,HTTP Request,200,OK,Thread Group 1-2,text,true,,179273,138,1,1,https://pir.org/news-insights/2024-oia-finalists/,157,0,59
1743046570091,191,HTTP Request,200,OK,Thread Group 1-3,text,true,,179273,138,1,1,https://pir.org/news-insights/2024-oia-finalists/,168,0,61
1743046572093,191,HTTP Request,200,OK,Thread Group 1-4,text,true,,179265,138,1,1,https://pir.org/news-insights/2024-oia-finalists/,169,0,63
1743046574092,188,HTTP Request,200,OK,Thread Group 1-5,text,true,,179265,138,1,1,https://pir.org/news-insights/2024-oia-finalists/,165,0,61
1743046576089,180,HTTP Request,200,OK,Thread Group 1-6,text,true,,179273,138,1,1,https://pir.org/news-insights/2024-oia-finalists/,159,0,52
1743046578089,188,HTTP Request,200,OK,Thread Group 1-7,text,true,,179265,138,1,1,https://pir.org/news-insights/2024-oia-finalists/,163,0,64
1743046580092,194,HTTP Request,200,OK,Thread Group 1-8,text,true,,179272,138,1,1,https://pir.org/news-insights/2024-oia-finalists/,173,0,57
1743046582092,157,HTTP Request,200,OK,Thread Group 1-9,text,true,,179273,138,1,1,https://pir.org/news-insights/2024-oia-finalists/,139,0,53
1743046584088,170,HTTP Request,200,OK,Thread Group 1-10,text,true,,179265,138,1,1,https://pir.org/news-insights/2024-oia-finalists/,148,0,46
